Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, moldy : 5, 4
crane, humid : 4, 4
crane, ahead : 5, 4
crane, woozy : 7, 4
crane, slump : 4, 3
crane, genie : 4, 4
crane, brisk : 5, 3
crane, tulip : 4, 3
crane, incur : 4, 2
crane, madly : 5, 4
crane, corer : 6, 3
crane, owner : 4, 3
crane, tract : 4, 3
crane, primo : 3, 3
crane, daunt : 3, 3
crane, leafy : 5, 3
crane, skiff : 5, 3
crane, twice : 4, 3
crane, stony : 4, 4
crane, giant : 5, 3
crane, reign : 3, 3
crane, radar : 4, 4
crane, briar : 3, 3
crane, creak : 3, 2
crane, outgo : 6, 4
crane, adore : 4, 4
crane, limbo : 5, 4
crane, quote : 4, 3
crane, missy : 5, 3
crane, dowel : 5, 4
crane, royal : 4, 3
crane, joust : 5, 3
crane, patty : 4, 4
crane, jazzy : 8, 5
crane, goner : 4, 4
crane, belie : 4, 3
crane, pesky : 5, 3
crane, altar : 4, 3
crane, sissy : 6, 3
crane, begun : 5, 3
crane, genre : 3, 3
crane, steed : 4, 3
crane, gripe : 3, 3
crane, lithe : 5, 4
crane, unset : 4, 3
crane, month : 5, 3
crane, psalm : 3, 3
crane, ranch : 3, 2
crane, mulch : 5, 3
crane, drool : 5, 4
crane, cheap : 4, 3
crane, spill : 5, 3
crane, laden : 3, 2
crane, legal : 5, 3
crane, sooty : 4, 3
crane, every : 6, 3
crane, soapy : 4, 4
crane, sooth : 4, 4
crane, detox : 5, 4
crane, tapir : 4, 3
crane, modal : 5, 3
crane, weedy : 5, 3
crane, sushi : 4, 4
crane, board : 4, 4
crane, hovel : 5, 4
crane, fjord : 4, 4
crane, myrrh : 4, 3
crane, tepid : 4, 3
crane, inner : 5, 3
crane, fried : 5, 3
crane, axial : 5, 4
crane, icing : 2, 2
crane, kebab : 5, 3
crane, slick : 4, 3
crane, gravy : 6, 5
crane, among : 5, 3
crane, merge : 6, 4
crane, snide : 4, 2
